Code INSEE région;Région;Date;Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Total gen (MW)
11;Île-de-France;2024-01-18;00:00;11026;487;0;24;0;6;0;122;10388;0;0;24;0;639
93;Provence-Alpes-Côte d'Azur;2024-01-18;00:00;5354;1620;0;1;0;1712;0;96;1926;0;0;1;0;3429
27;Bourgogne-Franche-Comté;2024-01-18;00:00;2642;106;0;757;0;112;0;55;1613;0;0;757;0;1030
32;Hauts-de-France;2024-01-18;00:00;6959;1284;4389;433;0;2;0;135;716;0;0;433;0;6243
76;Occitanie;2024-01-18;00:00;5015;74;1789;218;0;1780;0;116;1039;0;0;218;0;3977
52;Pays de la Loire;2024-01-18;00:00;3769;572;0;1129;0;3;0;58;2007;0;0;803;326;1762
28;Normandie;2024-01-18;00:00;4469;355;10367;181;0;16;0;75;-6524;0;0;116;65;10994
75;Nouvelle-Aquitaine;2024-01-18;00:00;5274;199;5779;1420;0;922;0;130;-3174;0;0;1420;0;8450
44;Grand Est;2024-01-18;00:00;5860;2052;10041;703;0;1009;-316;157;-7787;0;0;703;0;13646
53;Bretagne;2024-01-18;00:00;3782;690;0;968;0;22;-18;54;2066;0;0;829;140;1716
24;Centre-Val de Loire;2024-01-18;00:00;2707;90;8486;497;0;16;0;58;-6440;0;0;497;0;9147
84;Auvergne-Rhône-Alpes;2024-01-18;00:00;8252;574;9850;260;0;4054;-3;132;-6615;0;0;260;0;14867
11;Île-de-France;2024-01-18;00:30;10831;484;0;21;0;6;0;123;10201;0;0;21;0;634
27;Bourgogne-Franche-Comté;2024-01-18;00:30;2580;106;0;770;0;112;0;54;1537;0;0;770;0;1042
24;Centre-Val de Loire;2024-01-18;00:30;2772;90;8483;406;0;15;0;58;-6281;0;0;406;0;9052
28;Normandie;2024-01-18;00:30;4424;349;10368;164;0;16;0;74;-6547;0;0;100;64;10971
44;Grand Est;2024-01-18;00:30;5835;1385;10043;711;0;1009;-350;156;-7122;0;0;711;0;12954
53;Bretagne;2024-01-18;00:30;3787;552;0;958;0;22;-50;56;2249;0;0;819;140;1538
52;Pays de la Loire;2024-01-18;00:30;3734;579;0;1176;0;2;0;55;1921;0;0;818;358;1812
93;Provence-Alpes-Côte d'Azur;2024-01-18;00:30;5054;1778;0;1;0;1686;0;96;1494;0;0;1;0;3561
75;Nouvelle-Aquitaine;2024-01-18;00:30;5246;200;5778;1459;0;1059;0;130;-3380;0;0;1459;0;8626
76;Occitanie;2024-01-18;00:30;4756;74;1785;197;0;2175;0;115;411;0;0;197;0;4346
84;Auvergne-Rhône-Alpes;2024-01-18;00:30;8315;353;9846;294;0;4477;-3;133;-6784;0;0;294;0;15100
32;Hauts-de-France;2024-01-18;00:30;6908;1532;4390;452;0;2;0;137;390;0;0;452;0;6513
93;Provence-Alpes-Côte d'Azur;2024-01-18;01:00;4850;1728;0;1;0;1665;0;95;1363;0;0;1;0;3489
27;Bourgogne-Franche-Comté;2024-01-18;01:00;2524;106;0;809;0;111;0;54;1444;0;0;809;0;1080
44;Grand Est;2024-01-18;01:00;5607;722;10043;728;0;1009;-351;155;-6704;0;0;728;0;12306
32;Hauts-de-France;2024-01-18;01:00;6862;1173;4390;467;0;2;0;136;694;0;0;467;0;6168
76;Occitanie;2024-01-18;01:00;4512;74;1785;217;0;1686;0;116;634;0;0;217;0;3878
52;Pays de la Loire;2024-01-18;01:00;3600;578;0;1162;0;2;0;54;1803;0;0;804;358;1796
11;Île-de-France;2024-01-18;01:00;10413;484;0;24;0;6;0;121;9786;0;0;24;0;635
75;Nouvelle-Aquitaine;2024-01-18;01:00;5004;200;5776;1511;0;863;0;133;-3478;0;0;1511;0;8483
24;Centre-Val de Loire;2024-01-18;01:00;2620;90;8481;534;0;8;0;58;-6550;0;0;534;0;9171
53;Bretagne;2024-01-18;01:00;3558;288;0;934;0;22;-57;54;2317;0;0;799;135;1241
28;Normandie;2024-01-18;01:00;4317;349;10368;154;0;16;0;74;-6643;0;0;101;53;10961
84;Auvergne-Rhône-Alpes;2024-01-18;01:00;8040;144;9844;334;0;4287;-3;132;-6699;0;0;334;0;14738
52;Pays de la Loire;2024-01-18;01:30;3639;578;0;1112;0;2;0;54;1892;0;0;754;358;1746
93;Provence-Alpes-Côte d'Azur;2024-01-18;01:30;4877;1741;0;0;0;1647;0;96;1394;0;0;0;0;3484
32;Hauts-de-France;2024-01-18;01:30;6766;929;4390;615;0;2;0;140;689;0;0;615;0;6076
24;Centre-Val de Loire;2024-01-18;01:30;2698;90;8449;738;0;7;0;58;-6643;0;0;738;0;9342
84;Auvergne-Rhône-Alpes;2024-01-18;01:30;7945;143;9843;351;0;4320;-3;132;-6840;0;0;351;0;14786
53;Bretagne;2024-01-18;01:30;3477;240;0;864;0;22;-57;55;2353;0;0;739;125;1124
28;Normandie;2024-01-18;01:30;4349;354;10369;157;0;16;0;74;-6622;0;0;102;55;10970
11;Île-de-France;2024-01-18;01:30;10103;484;0;46;0;6;0;120;9451;0;0;46;0;656
75;Nouvelle-Aquitaine;2024-01-18;01:30;5175;200;5777;1515;0;926;0;135;-3377;0;0;1515;0;8553
76;Occitanie;2024-01-18;01:30;4536;74;1788;222;0;1805;0;116;532;0;0;222;0;4005
44;Grand Est;2024-01-18;01:30;5464;520;10044;774;0;1008;-177;154;-6858;0;0;774;0;12323
27;Bourgogne-Franche-Comté;2024-01-18;01:30;2530;105;0;768;0;111;0;55;1491;0;0;768;0;1039
11;Île-de-France;2024-01-18;02:00;9802;484;0;62;0;6;0;124;9130;0;0;62;0;676
28;Normandie;2024-01-18;02:00;4379;355;10258;159;0;17;0;75;-6484;0;0;96;63;10864
52;Pays de la Loire;2024-01-18;02:00;3683;580;0;1092;0;2;0;57;1952;0;0;734;358;1731
44;Grand Est;2024-01-18;02:00;5670;526;10043;768;0;1012;-176;154;-6655;0;0;768;0;12327
76;Occitanie;2024-01-18;02:00;4455;74;1788;214;0;1798;0;115;467;0;0;214;0;3989
84;Auvergne-Rhône-Alpes;2024-01-18;02:00;7951;138;9845;381;0;4210;-66;132;-6689;0;0;381;0;14640
32;Hauts-de-France;2024-01-18;02:00;6789;804;4391;720;0;2;0;140;732;0;0;720;0;6057
75;Nouvelle-Aquitaine;2024-01-18;02:00;5026;196;5779;1490;0;856;0;132;-3426;0;0;1490;0;8453
93;Provence-Alpes-Côte d'Azur;2024-01-18;02:00;4850;1755;0;1;0;1552;0;95;1447;0;0;1;0;3403
53;Bretagne;2024-01-18;02:00;3584;240;0;819;0;22;-57;55;2504;0;0;702;117;1079
27;Bourgogne-Franche-Comté;2024-01-18;02:00;2570;106;0;746;0;111;0;54;1554;0;0;746;0;1017
24;Centre-Val de Loire;2024-01-18;02:00;2631;90;8087;964;0;7;0;58;-6574;0;0;964;0;9206
27;Bourgogne-Franche-Comté;2024-01-18;02:30;2619;106;0;741;0;112;0;54;1606;0;0;741;0;1013
76;Occitanie;2024-01-18;02:30;4558;74;1795;215;0;1841;0;116;518;0;0;215;0;4041
75;Nouvelle-Aquitaine;2024-01-18;02:30;5086;196;5777;1462;0;749;0;131;-3229;0;0;1462;0;8315
24;Centre-Val de Loire;2024-01-18;02:30;2635;90;8449;1003;0;6;0;59;-6972;0;0;1003;0;9607
