Code INSEE région;Région;Date;Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;Total gen (MW);nuclear_selected_MW;gen_reduced_MW;nuclear_gen_reduced_MW
11;Île-de-France;2024-01-18;00:00;11026;487;0;24;0;6;0;122;10388;0;0;24;0;639;0.0;639.0;0.0
11;Île-de-France;2024-01-18;01:00;10413;484;0;24;0;6;0;121;9786;0;0;24;0;635;0.0;635.0;0.0
11;Île-de-France;2024-01-18;02:00;9802;484;0;62;0;6;0;124;9130;0;0;62;0;676;0.0;676.0;0.0
11;Île-de-France;2024-01-18;03:00;9539;472;0;88;0;6;0;124;8854;0;0;88;0;690;0.0;690.0;0.0
11;Île-de-France;2024-01-18;04:00;9446;472;0;93;0;6;0;127;8750;0;0;93;0;698;0.0;698.0;0.0
11;Île-de-France;2024-01-18;05:00;9825;424;0;90;0;6;0;128;9174;0;0;90;0;648;0.0;648.0;0.0
11;Île-de-France;2024-01-18;06:00;10495;473;0;69;0;6;0;128;9819;0;0;69;0;676;0.0;676.0;0.0
11;Île-de-France;2024-01-18;07:00;11584;470;0;82;0;5;0;121;10909;0;0;82;0;678;0.0;678.0;0.0
11;Île-de-France;2024-01-18;08:00;12426;470;0;75;0;5;0;118;11758;0;0;75;0;668;0.0;668.0;0.0
11;Île-de-France;2024-01-18;09:00;12790;470;0;55;1;5;0;121;12137;0;0;55;0;652;0.0;652.0;0.0
11;Île-de-France;2024-01-18;10:00;12894;471;0;45;4;5;0;119;12252;0;0;45;0;644;0.0;644.0;0.0
11;Île-de-France;2024-01-18;11:00;12879;470;0;36;20;5;0;118;12232;0;0;36;0;649;0.0;649.0;0.0
11;Île-de-France;2024-01-18;12:00;12801;462;0;29;46;5;0;120;12140;0;0;29;0;662;0.0;662.0;0.0
11;Île-de-France;2024-01-18;13:00;12701;474;0;31;59;5;0;123;12009;0;0;31;0;692;0.0;692.0;0.0
11;Île-de-France;2024-01-18;14:00;12297;470;0;38;57;5;0;132;11596;0;0;38;0;702;0.0;702.0;0.0
11;Île-de-France;2024-01-18;15:00;11989;499;0;32;53;5;0;128;11272;0;0;32;0;717;0.0;717.0;0.0
11;Île-de-France;2024-01-18;16:00;11816;487;0;19;19;5;0;127;11160;0;0;19;0;657;0.0;657.0;0.0
11;Île-de-France;2024-01-18;17:00;12248;485;0;30;1;5;0;123;11603;0;0;30;0;644;0.0;644.0;0.0
11;Île-de-France;2024-01-18;18:00;13003;477;0;21;0;5;0;125;12375;0;0;21;0;628;0.0;628.0;0.0
11;Île-de-France;2024-01-18;19:00;13335;484;0;25;0;5;0;127;12695;0;0;25;0;641;0.0;641.0;0.0
11;Île-de-France;2024-01-18;20:00;13147;487;0;26;0;5;0;126;12504;0;0;26;0;644;0.0;644.0;0.0
11;Île-de-France;2024-01-18;21:00;12512;475;0;28;0;5;0;121;11884;0;0;28;0;629;0.0;629.0;0.0
11;Île-de-France;2024-01-18;22:00;11828;485;0;31;0;5;0;127;11180;0;0;31;0;648;0.0;648.0;0.0
