Type_Ouvrage,Code_Ligne,Tension,Ville_Depart,Ville_Arrivee,Capacite_MW,Reg_Depart_Code,Reg_Depart,Reg_Arrivee_Code,Reg_Arrivee
AERIEN,P.SEPL61RATIE,225kV,PONT-SEPT,RATIER,400,28,Normandie,28,Normandie
AERIEN,P.SEPL61SANDO,225kV,PONT-SEPT,SANDOUVILLE,400,28,Normandie,28,Normandie
AERIEN,CERGYL71MEZE5,400kV,CERGY,MEZEROLLES,1500,11,Île-de-France,32,Hauts-de-France
AERIEN,CERGYL72MEZE5,400kV,CERGY,MEZEROLLES,1500,11,Île-de-France,32,Hauts-de-France
AERIEN,CREYSL71GEN.P,400kV,CREYS,GENISSIAT-POSTE,1500,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,ARDOIL61TAVEL,225kV,ARDOISE (L ),TAVEL,400,76,Occitanie,76,Occitanie
AERIEN,ARDOIL62TAVEL,225kV,ARDOISE (L ),TAVEL,400,76,Occitanie,76,Occitanie
AERIEN,GRISOL61S.PON,225kV,GRISOLLES,SERRE-PONCON,400,76,Occitanie,93,Provence-Alpes-Côte d'Azur
AERIEN,M.SEIL72VIELM,400kV,MERY-SUR-SEINE,VIELMOULIN,1500,44,Grand Est,27,Bourgogne-Franche-Comté
AERIEN,CARISL61SEREI,225kV,CARISEY,SEREIN,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,M.RADL61P.JER,225kV,MARAIS DE RADICATEL (LES),PORT-JEROME,400,28,Normandie,28,Normandie
AERIEN,P.JERL61RATIE,225kV,PORT-JEROME,RATIER,400,28,Normandie,28,Normandie
AERIEN,MERLAL61SIRMI,225kV,MERLATIERE,SIRMIERE,400,52,Pays de la Loire,75,Nouvelle-Aquitaine
AERIEN,BREN5L61VERFE,225kV,BRENS,VERFEIL,400,84,Auvergne-Rhône-Alpes,76,Occitanie
AERIEN,AUSSOL61P.AND,225kV,AUSSOIS,PRAZ-ST-ANDRE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHEVAL71GAVRE,400kV,CHEVALET,GAVRELLE,1500,32,Hauts-de-France,32,Hauts-de-France
AERIEN,SOLEIL61VOLVO,225kV,SOLEIL (LE),VOLVON,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
