date,heures,consommation,prevision_j_1,prevision_j,fioul,charbon,gaz,nucleaire,eolien_total,solaire,hydraulique,pompage,bioenergies,ech_physiques,taux_co2,ech_angleterre,ech_espagne,ech_italie,ech_suisse,ech_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydraulique_fil_de_l_eau,hydraulique_lacs,hydraulique_step_turbinage,bioenergies.1,bio_biomasse,bio_biogaz,stockage_batterie,destockage_batterie,eolien_terrestre,eolien_offshore,datetime,date_only,month
18/01/2024,00:00,65108.0,63000.0,62600.0,111.0,255.0,7746.0,50701.0,6592.0,0.0,9652.0,-337.0,1175.0,-10673.0,47.0,-2022.0,2400.0,-3800.0,-2385.0,-6045.0,14.0,74.0,23.0,101.0,1269.0,5241.0,1136.0,6794.0,2784.0,75.0,469.0,350.0,355.0,0.0,0.0,6061.0,531.0,2024-01-18 00:00:00,2024-01-18,1.0
18/01/2024,00:30,64242.0,61500.0,61400.0,109.0,52.0,7330.0,50692.0,6610.0,0.0,10581.0,-404.0,1173.0,-11797.0,42.0,-2022.0,2400.0,-3800.0,-2385.0,-6070.0,14.0,73.0,23.0,97.0,1246.0,4851.0,1136.0,6636.0,3827.0,119.0,473.0,347.0,354.0,0.0,0.0,6048.0,561.0,2024-01-18 00:30:00,2024-01-18,1.0
18/01/2024,01:00,61907.0,59800.0,59500.0,110.0,17.0,5818.0,50686.0,6875.0,0.0,9677.0,-411.0,1170.0,-11919.0,36.0,-2051.0,2400.0,-3694.0,-2385.0,-6622.0,14.0,73.0,23.0,96.0,1242.0,3345.0,1135.0,6548.0,3028.0,101.0,469.0,349.0,353.0,0.0,0.0,6328.0,547.0,2024-01-18 01:00:00,2024-01-18,1.0
18/01/2024,01:30,61559.0,60600.0,60400.0,110.0,16.0,5342.0,50661.0,7161.0,0.0,9873.0,-237.0,1177.0,-12427.0,34.0,-2051.0,2400.0,-3694.0,-2385.0,-6632.0,14.0,73.0,23.0,96.0,1246.0,2864.0,1136.0,6651.0,3120.0,102.0,473.0,349.0,355.0,0.0,0.0,6623.0,538.0,2024-01-18 01:30:00,2024-01-18,1.0
18/01/2024,02:00,61390.0,60900.0,60400.0,109.0,14.0,5236.0,50191.0,7416.0,0.0,9594.0,-299.0,1180.0,-11930.0,33.0,-2561.0,2400.0,-3669.0,-2385.0,-6650.0,14.0,72.0,23.0,96.0,1247.0,2761.0,1131.0,6574.0,2918.0,101.0,477.0,351.0,352.0,0.0,0.0,6877.0,538.0,2024-01-18 02:00:00,2024-01-18,1.0
18/01/2024,02:30,61539.0,59700.0,59000.0,110.0,14.0,5315.0,50534.0,7755.0,0.0,9550.0,-398.0,1180.0,-12408.0,33.0,-2561.0,2400.0,-3669.0,-2385.0,-6765.0,14.0,74.0,23.0,96.0,1234.0,2864.0,1122.0,6572.0,2851.0,126.0,475.0,354.0,351.0,0.0,0.0,7189.0,565.0,2024-01-18 02:30:00,2024-01-18,1.0
18/01/2024,03:00,60328.0,58200.0,57700.0,110.0,14.0,5229.0,50609.0,7915.0,0.0,9092.0,-559.0,1184.0,-13141.0,33.0,-2790.0,2400.0,-3881.0,-2385.0,-6870.0,14.0,73.0,23.0,97.0,1234.0,2782.0,1117.0,6467.0,2503.0,123.0,476.0,358.0,350.0,0.0,0.0,7348.0,566.0,2024-01-18 03:00:00,2024-01-18,1.0
18/01/2024,03:30,59340.0,57500.0,56700.0,110.0,14.0,4747.0,50654.0,7821.0,0.0,8960.0,-917.0,1187.0,-13123.0,31.0,-2790.0,2400.0,-3881.0,-2385.0,-6918.0,14.0,73.0,23.0,97.0,1238.0,2293.0,1120.0,6493.0,2457.0,9.0,479.0,357.0,350.0,0.0,0.0,7250.0,571.0,2024-01-18 03:30:00,2024-01-18,1.0
18/01/2024,04:00,58355.0,56500.0,56100.0,110.0,8.0,4722.0,50420.0,8066.0,0.0,9199.0,-1645.0,1180.0,-13587.0,31.0,-2863.0,2350.0,-3884.0,-2385.0,-7159.0,14.0,73.0,23.0,97.0,1237.0,2265.0,1122.0,6523.0,2668.0,8.0,472.0,357.0,352.0,0.0,0.0,7410.0,656.0,2024-01-18 04:00:00,2024-01-18,1.0
18/01/2024,04:30,57892.0,56500.0,55400.0,109.0,0.0,4558.0,50441.0,8284.0,0.0,8694.0,-1803.0,1177.0,-13456.0,31.0,-2863.0,2350.0,-3884.0,-2385.0,-7196.0,14.0,73.0,23.0,94.0,1234.0,2105.0,1124.0,6555.0,2132.0,8.0,472.0,352.0,352.0,0.0,0.0,7585.0,699.0,2024-01-18 04:30:00,2024-01-18,1.0
