orig_idx,cluster_id,representative_date,month,month_name,cluster_size,weight,avg_consumption_MW,min_consumption_MW,max_consumption_MW
0,1,2024-01-18,1.0,January,28,0.076503,68621.4,57860.0,77327.0
7,2,2024-02-04,2.0,February,20,0.054645,53960.2,47145.0,61418.0
8,3,2024-03-12,3.0,March,28,0.076503,57937.1,49725.0,63525.0
5,4,2024-06-12,6.0,June,61,0.166667,44149.8,35180.0,51080.0
3,5,2024-06-22,6.0,June,47,0.128415,39355.5,32676.0,45885.0
4,6,2024-08-13,8.0,August,58,0.15847,42956.2,34259.0,49829.0
6,7,2024-09-17,9.0,September,25,0.068306,45194.0,35454.0,52029.0
1,8,2024-10-04,10.0,October,35,0.095628,48290.0,39012.0,55198.0
9,9,2024-11-04,11.0,November,15,0.040984,51342.5,39724.0,59252.0
2,10,2024-12-02,12.0,December,49,0.13388,57848.6,46676.0,65832.0
