unit,start_date,value_MW
BUGEY-2,2024-01-18T00:00:00+01:00,906
BUGEY-2,2024-01-18T01:00:00+01:00,906
BUGEY-2,2024-01-18T02:00:00+01:00,906
BUGEY-2,2024-01-18T03:00:00+01:00,906
BUGEY-2,2024-01-18T04:00:00+01:00,906
BUGEY-2,2024-01-18T05:00:00+01:00,906
BUGEY-2,2024-01-18T06:00:00+01:00,906
BUGEY-2,2024-01-18T07:00:00+01:00,906
BUGEY-2,2024-01-18T08:00:00+01:00,906
BUGEY-2,2024-01-18T09:00:00+01:00,906
BUGEY-2,2024-01-18T10:00:00+01:00,906
BUGEY-2,2024-01-18T11:00:00+01:00,905
BUGEY-2,2024-01-18T12:00:00+01:00,905
BUGEY-2,2024-01-18T13:00:00+01:00,905
BUGEY-2,2024-01-18T14:00:00+01:00,905
BUGEY-2,2024-01-18T15:00:00+01:00,906
BUGEY-2,2024-01-18T16:00:00+01:00,906
BUGEY-2,2024-01-18T17:00:00+01:00,906
BUGEY-2,2024-01-18T18:00:00+01:00,907
BUGEY-2,2024-01-18T19:00:00+01:00,906
BUGEY-2,2024-01-18T20:00:00+01:00,902
BUGEY-2,2024-01-18T21:00:00+01:00,903
BUGEY-2,2024-01-18T22:00:00+01:00,903
BUGEY-2,2024-01-18T23:00:00+01:00,903
BUGEY-3,2024-01-18T00:00:00+01:00,0
BUGEY-3,2024-01-18T01:00:00+01:00,0
BUGEY-3,2024-01-18T02:00:00+01:00,0
BUGEY-3,2024-01-18T03:00:00+01:00,0
BUGEY-3,2024-01-18T04:00:00+01:00,0
BUGEY-3,2024-01-18T05:00:00+01:00,0
BUGEY-3,2024-01-18T06:00:00+01:00,0
BUGEY-3,2024-01-18T07:00:00+01:00,0
BUGEY-3,2024-01-18T08:00:00+01:00,0
BUGEY-3,2024-01-18T09:00:00+01:00,0
BUGEY-3,2024-01-18T10:00:00+01:00,0
BUGEY-3,2024-01-18T11:00:00+01:00,0
BUGEY-3,2024-01-18T12:00:00+01:00,0
BUGEY-3,2024-01-18T13:00:00+01:00,0
BUGEY-3,2024-01-18T14:00:00+01:00,0
BUGEY-3,2024-01-18T15:00:00+01:00,0
BUGEY-3,2024-01-18T16:00:00+01:00,0
BUGEY-3,2024-01-18T17:00:00+01:00,0
BUGEY-3,2024-01-18T18:00:00+01:00,0
BUGEY-3,2024-01-18T19:00:00+01:00,0
BUGEY-3,2024-01-18T20:00:00+01:00,0
BUGEY-3,2024-01-18T21:00:00+01:00,0
BUGEY-3,2024-01-18T22:00:00+01:00,0
BUGEY-3,2024-01-18T23:00:00+01:00,0
BUGEY-4,2024-01-18T00:00:00+01:00,125
BUGEY-4,2024-01-18T01:00:00+01:00,124
BUGEY-4,2024-01-18T02:00:00+01:00,125
BUGEY-4,2024-01-18T03:00:00+01:00,125
BUGEY-4,2024-01-18T04:00:00+01:00,125
BUGEY-4,2024-01-18T05:00:00+01:00,124
BUGEY-4,2024-01-18T06:00:00+01:00,124
BUGEY-4,2024-01-18T07:00:00+01:00,124
BUGEY-4,2024-01-18T08:00:00+01:00,124
BUGEY-4,2024-01-18T09:00:00+01:00,123
BUGEY-4,2024-01-18T10:00:00+01:00,123
BUGEY-4,2024-01-18T11:00:00+01:00,123
BUGEY-4,2024-01-18T12:00:00+01:00,123
BUGEY-4,2024-01-18T13:00:00+01:00,123
BUGEY-4,2024-01-18T14:00:00+01:00,123
BUGEY-4,2024-01-18T15:00:00+01:00,124
BUGEY-4,2024-01-18T16:00:00+01:00,125
BUGEY-4,2024-01-18T17:00:00+01:00,126
BUGEY-4,2024-01-18T18:00:00+01:00,128
BUGEY-4,2024-01-18T19:00:00+01:00,128
BUGEY-4,2024-01-18T20:00:00+01:00,129
BUGEY-4,2024-01-18T21:00:00+01:00,128
BUGEY-4,2024-01-18T22:00:00+01:00,128
BUGEY-4,2024-01-18T23:00:00+01:00,129
BUGEY-5,2024-01-18T00:00:00+01:00,-17
BUGEY-5,2024-01-18T01:00:00+01:00,-17
BUGEY-5,2024-01-18T02:00:00+01:00,-17
BUGEY-5,2024-01-18T03:00:00+01:00,-17
BUGEY-5,2024-01-18T04:00:00+01:00,-17
BUGEY-5,2024-01-18T05:00:00+01:00,-17
BUGEY-5,2024-01-18T06:00:00+01:00,-17
BUGEY-5,2024-01-18T07:00:00+01:00,-17
BUGEY-5,2024-01-18T08:00:00+01:00,-17
BUGEY-5,2024-01-18T09:00:00+01:00,-17
BUGEY-5,2024-01-18T10:00:00+01:00,-17
BUGEY-5,2024-01-18T11:00:00+01:00,-17
BUGEY-5,2024-01-18T12:00:00+01:00,-17
BUGEY-5,2024-01-18T13:00:00+01:00,-17
BUGEY-5,2024-01-18T14:00:00+01:00,-17
BUGEY-5,2024-01-18T15:00:00+01:00,-17
BUGEY-5,2024-01-18T16:00:00+01:00,-17
BUGEY-5,2024-01-18T17:00:00+01:00,-17
BUGEY-5,2024-01-18T18:00:00+01:00,-17
BUGEY-5,2024-01-18T19:00:00+01:00,-17
BUGEY-5,2024-01-18T20:00:00+01:00,-17
BUGEY-5,2024-01-18T21:00:00+01:00,-17
BUGEY-5,2024-01-18T22:00:00+01:00,-17
BUGEY-5,2024-01-18T23:00:00+01:00,-17
GRAVELINES-1,2024-01-18T00:00:00+01:00,905
GRAVELINES-1,2024-01-18T01:00:00+01:00,905
GRAVELINES-1,2024-01-18T02:00:00+01:00,905
GRAVELINES-1,2024-01-18T03:00:00+01:00,906
GRAVELINES-1,2024-01-18T04:00:00+01:00,906
GRAVELINES-1,2024-01-18T05:00:00+01:00,907
GRAVELINES-1,2024-01-18T06:00:00+01:00,906
GRAVELINES-1,2024-01-18T07:00:00+01:00,906
GRAVELINES-1,2024-01-18T08:00:00+01:00,906
GRAVELINES-1,2024-01-18T09:00:00+01:00,906
GRAVELINES-1,2024-01-18T10:00:00+01:00,905
GRAVELINES-1,2024-01-18T11:00:00+01:00,905
GRAVELINES-1,2024-01-18T12:00:00+01:00,905
GRAVELINES-1,2024-01-18T13:00:00+01:00,905
GRAVELINES-1,2024-01-18T14:00:00+01:00,905
GRAVELINES-1,2024-01-18T15:00:00+01:00,906
GRAVELINES-1,2024-01-18T16:00:00+01:00,906
GRAVELINES-1,2024-01-18T17:00:00+01:00,907
GRAVELINES-1,2024-01-18T18:00:00+01:00,907
GRAVELINES-1,2024-01-18T19:00:00+01:00,907
GRAVELINES-1,2024-01-18T20:00:00+01:00,907
GRAVELINES-1,2024-01-18T21:00:00+01:00,906
GRAVELINES-1,2024-01-18T22:00:00+01:00,906
GRAVELINES-1,2024-01-18T23:00:00+01:00,906
GRAVELINES-2,2024-01-18T00:00:00+01:00,-3
GRAVELINES-2,2024-01-18T01:00:00+01:00,-3
GRAVELINES-2,2024-01-18T02:00:00+01:00,-3
GRAVELINES-2,2024-01-18T03:00:00+01:00,-3
GRAVELINES-2,2024-01-18T04:00:00+01:00,-3
GRAVELINES-2,2024-01-18T05:00:00+01:00,-3
GRAVELINES-2,2024-01-18T06:00:00+01:00,-3
GRAVELINES-2,2024-01-18T07:00:00+01:00,-3
GRAVELINES-2,2024-01-18T08:00:00+01:00,-3
GRAVELINES-2,2024-01-18T09:00:00+01:00,-3
GRAVELINES-2,2024-01-18T10:00:00+01:00,-3
GRAVELINES-2,2024-01-18T11:00:00+01:00,-3
GRAVELINES-2,2024-01-18T12:00:00+01:00,-3
GRAVELINES-2,2024-01-18T13:00:00+01:00,-3
GRAVELINES-2,2024-01-18T14:00:00+01:00,-3
GRAVELINES-2,2024-01-18T15:00:00+01:00,-3
GRAVELINES-2,2024-01-18T16:00:00+01:00,-3
GRAVELINES-2,2024-01-18T17:00:00+01:00,-3
GRAVELINES-2,2024-01-18T18:00:00+01:00,-3
GRAVELINES-2,2024-01-18T19:00:00+01:00,-3
GRAVELINES-2,2024-01-18T20:00:00+01:00,-3
GRAVELINES-2,2024-01-18T21:00:00+01:00,-3
GRAVELINES-2,2024-01-18T22:00:00+01:00,-3
GRAVELINES-2,2024-01-18T23:00:00+01:00,-3
GRAVELINES-3,2024-01-18T00:00:00+01:00,914
GRAVELINES-3,2024-01-18T01:00:00+01:00,914
GRAVELINES-3,2024-01-18T02:00:00+01:00,914
GRAVELINES-3,2024-01-18T03:00:00+01:00,914
GRAVELINES-3,2024-01-18T04:00:00+01:00,915
GRAVELINES-3,2024-01-18T05:00:00+01:00,915
GRAVELINES-3,2024-01-18T06:00:00+01:00,915
GRAVELINES-3,2024-01-18T07:00:00+01:00,915
GRAVELINES-3,2024-01-18T08:00:00+01:00,915
GRAVELINES-3,2024-01-18T09:00:00+01:00,914
GRAVELINES-3,2024-01-18T10:00:00+01:00,914
GRAVELINES-3,2024-01-18T11:00:00+01:00,914
GRAVELINES-3,2024-01-18T12:00:00+01:00,914
GRAVELINES-3,2024-01-18T13:00:00+01:00,914
GRAVELINES-3,2024-01-18T14:00:00+01:00,914
