Code INSEE région;Région;Nature;Consommation (MW);Thermique (MW);Nucléaire (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 30;Date;Heure
11;Île-de-France;Données définitives;9046.5;337.5;0.0;0.0;4.0;0.0;149.5;8454.0;0.0;0.0;100.5;0.0;3.73;15.66;0.0;;1.115;69.31;0.0;0.0;0.04;21.05;1.65;46.285;;2024-01-29;00:00
11;Île-de-France;Données définitives;8418.5;337.0;0.0;0.0;4.0;0.0;145.0;7852.5;0.0;0.0;80.5;0.0;4.005;15.64;0.0;;0.9550000000000001;55.515;0.0;0.0;0.05;21.05;1.72;44.89;;2024-01-29;01:00
11;Île-de-France;Données définitives;7989.5;338.0;0.0;0.0;4.0;0.0;143.5;7454.0;0.0;0.0;51.5;0.0;4.23;15.68;0.0;;0.64;35.515;0.0;0.0;0.05;21.05;1.795;44.425;;2024-01-29;02:00
11;Île-de-France;Données définitives;7752.5;342.0;0.0;0.0;4.0;0.0;142.5;7224.0;0.0;0.0;40.0;0.0;4.415;15.87;0.0;;0.515;27.59;0.0;0.0;0.05;21.05;1.84;44.114999999999995;;2024-01-29;03:00
11;Île-de-France;Données définitives;7659.5;341.0;0.0;0.0;4.0;0.0;144.5;7130.5;0.0;0.0;40.0;0.0;4.45;15.82;0.0;;0.52;27.59;0.0;0.0;0.05;21.05;1.89;44.735;;2024-01-29;04:00
11;Île-de-France;Données définitives;7894.0;339.5;0.0;0.0;4.0;0.0;142.5;7363.0;0.0;0.0;45.5;0.0;4.305;15.754999999999999;0.0;;0.575;31.375;0.0;0.0;0.05;21.05;1.8050000000000002;44.114999999999995;;2024-01-29;05:00
11;Île-de-France;Données définitives;8573.5;340.0;0.0;0.0;4.0;0.0;142.0;8031.0;0.0;0.0;54.5;0.0;3.965;15.78;0.0;;0.635;37.584999999999994;0.0;0.0;0.05;21.05;1.6600000000000001;43.96;;2024-01-29;06:00
11;Île-de-France;Données définitives;9669.0;340.0;0.0;0.0;4.0;0.0;140.0;9127.5;0.0;0.0;55.5;0.0;3.52;15.78;0.0;;0.575;38.275000000000006;0.0;0.0;0.04;21.05;1.4449999999999998;43.34;;2024-01-29;07:00
11;Île-de-France;Données définitives;10584.0;339.0;0.0;0.0;5.0;0.0;138.0;10063.5;0.0;0.0;40.0;0.0;3.2;15.73;0.0;;0.38;27.59;0.0;0.0;0.05;26.32;1.3050000000000002;42.725;;2024-01-29;08:00
11;Île-de-France;Données définitives;10808.0;337.5;0.0;11.0;5.0;0.0;132.0;10287.0;0.0;0.0;38.0;0.0;3.125;15.66;0.0;;0.35;26.21;0.10500000000000001;3.415;0.05;26.32;1.22;40.870000000000005;;2024-01-29;09:00
