date,heures,consommation,prevision_j_1,prevision_j,fioul,charbon,gaz,nucleaire,eolien_total,solaire,hydraulique,pompage,bioenergies,ech_physiques,taux_co2,ech_angleterre,ech_espagne,ech_italie,ech_suisse,ech_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydraulique_fil_de_l_eau,hydraulique_lacs,hydraulique_step_turbinage,bioenergies,bio_biomasse,bio_biogaz,stockage_batterie,destockage_batterie,eolien_terrestre,eolien_offshore
01/01/2024,00:00,55239.0,55000.0,54200.0,96.0,18.0,1975.0,39886.0,15557.0,0.0,6671.0,-2274.0,1211.0,-7824.0,20.0,-1447.0,-2636.0,-2235.0,-2214.0,2360.0,14.0,63.0,18.0,88.0,761.0,201.0,926.0,5001.0,1553.0,117.0,510.0,354.0,347.0,0.0,0.0,14976.0,581.0
01/01/2024,00:30,55167.0,53600.0,52600.0,98.0,17.0,1926.0,38086.0,15467.0,0.0,6533.0,-2174.0,1217.0,-5890.0,20.0,-1447.0,-2636.0,-2235.0,-2214.0,2336.0,14.0,64.0,19.0,88.0,747.0,147.0,943.0,4928.0,1599.0,6.0,501.0,369.0,347.0,0.0,0.0,14888.0,579.0
01/01/2024,01:00,53183.0,52800.0,51300.0,96.0,17.0,1987.0,37215.0,15411.0,0.0,6208.0,-2202.0,1225.0,-6659.0,21.0,-1431.0,-2636.0,-2102.0,-2280.0,1573.0,14.0,63.0,19.0,91.0,752.0,196.0,948.0,4909.0,1293.0,6.0,506.0,373.0,347.0,0.0,0.0,14830.0,581.0
01/01/2024,01:30,53165.0,53000.0,51700.0,97.0,17.0,1969.0,37524.0,15238.0,0.0,6206.0,-1817.0,1226.0,-7180.0,21.0,-1431.0,-2636.0,-2102.0,-2280.0,1585.0,14.0,64.0,19.0,91.0,757.0,160.0,961.0,5009.0,1191.0,6.0,506.0,375.0,346.0,0.0,0.0,14656.0,581.0
01/01/2024,02:00,53088.0,52300.0,52000.0,97.0,17.0,2007.0,37374.0,15046.0,0.0,6260.0,-1698.0,1230.0,-7129.0,21.0,-1878.0,-2636.0,-2495.0,-2142.0,2639.0,14.0,64.0,19.0,92.0,758.0,186.0,972.0,5104.0,1152.0,5.0,506.0,379.0,345.0,0.0,0.0,14465.0,580.0
01/01/2024,02:30,53077.0,51400.0,50900.0,97.0,17.0,1974.0,37260.0,14722.0,0.0,6117.0,-1929.0,1232.0,-6308.0,21.0,-1878.0,-2636.0,-2495.0,-2142.0,2677.0,14.0,64.0,19.0,94.0,753.0,171.0,955.0,5001.0,1111.0,6.0,508.0,378.0,347.0,0.0,0.0,14142.0,580.0
01/01/2024,03:00,51532.0,49900.0,49300.0,97.0,17.0,2014.0,36892.0,13122.0,0.0,6317.0,-2379.0,1231.0,-5666.0,22.0,-1023.0,-2636.0,-2438.0,-1980.0,3585.0,14.0,64.0,19.0,95.0,756.0,210.0,953.0,5022.0,1123.0,172.0,508.0,375.0,348.0,0.0,0.0,12543.0,579.0
01/01/2024,03:30,50252.0,48600.0,48000.0,97.0,17.0,1984.0,37223.0,9437.0,0.0,6256.0,-1931.0,1233.0,-3950.0,23.0,-1023.0,-2636.0,-2438.0,-1980.0,3492.0,14.0,64.0,19.0,94.0,759.0,176.0,956.0,4976.0,1047.0,233.0,510.0,375.0,347.0,0.0,0.0,8858.0,579.0
01/01/2024,04:00,48961.0,47500.0,47100.0,96.0,17.0,1977.0,36841.0,9146.0,0.0,5832.0,-2377.0,1231.0,-3686.0,24.0,-1394.0,-2590.0,-2380.0,-1874.0,3638.0,14.0,63.0,19.0,94.0,759.0,169.0,954.0,4961.0,865.0,6.0,511.0,374.0,347.0,0.0,0.0,8567.0,579.0
01/01/2024,04:30,48216.0,46600.0,46400.0,96.0,17.0,1993.0,36690.0,8935.0,0.0,5832.0,-2686.0,1234.0,-3780.0,25.0,-1394.0,-2590.0,-2380.0,-1874.0,3601.0,14.0,63.0,19.0,94.0,757.0,190.0,953.0,4956.0,870.0,6.0,510.0,378.0,346.0,0.0,0.0,8363.0,572.0
01/01/2024,05:00,47454.0,46100.0,46000.0,97.0,17.0,1984.0,36260.0,8832.0,0.0,5854.0,-2771.0,1228.0,-3928.0,25.0,-1224.0,-2590.0,-2380.0,-1994.0,4314.0,14.0,64.0,19.0,94.0,756.0,181.0,953.0,4983.0,865.0,6.0,505.0,378.0,345.0,0.0,0.0,8259.0,573.0
01/01/2024,05:30,47758.0,46200.0,46300.0,96.0,17.0,1992.0,36257.0,8781.0,0.0,5863.0,-2849.0,1222.0,-3504.0,25.0,-1224.0,-2590.0,-2380.0,-1994.0,4423.0,14.0,63.0,19.0,94.0,757.0,187.0,955.0,4939.0,918.0,6.0,498.0,378.0,346.0,0.0,0.0,8216.0,565.0
