unit,start_date,value_MW
BUGEY-2,2024-01-29T00:00:00+01:00,909
BUGEY-2,2024-01-29T01:00:00+01:00,863
BUGEY-2,2024-01-29T02:00:00+01:00,857
BUGEY-2,2024-01-29T03:00:00+01:00,858
BUGEY-2,2024-01-29T04:00:00+01:00,871
BUGEY-2,2024-01-29T05:00:00+01:00,850
BUGEY-2,2024-01-29T06:00:00+01:00,906
BUGEY-2,2024-01-29T07:00:00+01:00,910
BUGEY-2,2024-01-29T08:00:00+01:00,910
BUGEY-2,2024-01-29T09:00:00+01:00,910
BUGEY-2,2024-01-29T10:00:00+01:00,910
BUGEY-2,2024-01-29T11:00:00+01:00,910
BUGEY-2,2024-01-29T12:00:00+01:00,910
BUGEY-2,2024-01-29T13:00:00+01:00,909
BUGEY-2,2024-01-29T14:00:00+01:00,909
BUGEY-2,2024-01-29T15:00:00+01:00,908
BUGEY-2,2024-01-29T16:00:00+01:00,908
BUGEY-2,2024-01-29T17:00:00+01:00,908
BUGEY-2,2024-01-29T18:00:00+01:00,908
BUGEY-2,2024-01-29T19:00:00+01:00,909
BUGEY-2,2024-01-29T20:00:00+01:00,909
BUGEY-2,2024-01-29T21:00:00+01:00,910
BUGEY-2,2024-01-29T22:00:00+01:00,910
BUGEY-2,2024-01-29T23:00:00+01:00,910
BUGEY-3,2024-01-29T00:00:00+01:00,0
BUGEY-3,2024-01-29T01:00:00+01:00,0
BUGEY-3,2024-01-29T02:00:00+01:00,0
BUGEY-3,2024-01-29T03:00:00+01:00,0
BUGEY-3,2024-01-29T04:00:00+01:00,0
BUGEY-3,2024-01-29T05:00:00+01:00,0
BUGEY-3,2024-01-29T06:00:00+01:00,0
BUGEY-3,2024-01-29T07:00:00+01:00,0
BUGEY-3,2024-01-29T08:00:00+01:00,0
BUGEY-3,2024-01-29T09:00:00+01:00,0
BUGEY-3,2024-01-29T10:00:00+01:00,0
BUGEY-3,2024-01-29T11:00:00+01:00,0
BUGEY-3,2024-01-29T12:00:00+01:00,0
BUGEY-3,2024-01-29T13:00:00+01:00,0
BUGEY-3,2024-01-29T14:00:00+01:00,0
BUGEY-3,2024-01-29T15:00:00+01:00,0
BUGEY-3,2024-01-29T16:00:00+01:00,0
BUGEY-3,2024-01-29T17:00:00+01:00,0
BUGEY-3,2024-01-29T18:00:00+01:00,0
BUGEY-3,2024-01-29T19:00:00+01:00,0
BUGEY-3,2024-01-29T20:00:00+01:00,0
BUGEY-3,2024-01-29T21:00:00+01:00,0
BUGEY-3,2024-01-29T22:00:00+01:00,0
BUGEY-3,2024-01-29T23:00:00+01:00,0
BUGEY-4,2024-01-29T00:00:00+01:00,867
BUGEY-4,2024-01-29T01:00:00+01:00,867
BUGEY-4,2024-01-29T02:00:00+01:00,867
BUGEY-4,2024-01-29T03:00:00+01:00,867
BUGEY-4,2024-01-29T04:00:00+01:00,868
BUGEY-4,2024-01-29T05:00:00+01:00,868
BUGEY-4,2024-01-29T06:00:00+01:00,868
BUGEY-4,2024-01-29T07:00:00+01:00,868
BUGEY-4,2024-01-29T08:00:00+01:00,868
BUGEY-4,2024-01-29T09:00:00+01:00,868
BUGEY-4,2024-01-29T10:00:00+01:00,868
BUGEY-4,2024-01-29T11:00:00+01:00,868
BUGEY-4,2024-01-29T12:00:00+01:00,868
BUGEY-4,2024-01-29T13:00:00+01:00,866
BUGEY-4,2024-01-29T14:00:00+01:00,864
BUGEY-4,2024-01-29T15:00:00+01:00,863
BUGEY-4,2024-01-29T16:00:00+01:00,864
BUGEY-4,2024-01-29T17:00:00+01:00,864
BUGEY-4,2024-01-29T18:00:00+01:00,865
BUGEY-4,2024-01-29T19:00:00+01:00,865
BUGEY-4,2024-01-29T20:00:00+01:00,866
BUGEY-4,2024-01-29T21:00:00+01:00,868
BUGEY-4,2024-01-29T22:00:00+01:00,867
BUGEY-4,2024-01-29T23:00:00+01:00,867
BUGEY-5,2024-01-29T00:00:00+01:00,-35
BUGEY-5,2024-01-29T01:00:00+01:00,-35
BUGEY-5,2024-01-29T02:00:00+01:00,-35
