datetime,date_only,heures,consommation
2024-01-15 00:00:00,2024-01-15,00:00,69232.0
2024-01-15 00:30:00,2024-01-15,00:30,68240.0
2024-01-15 01:00:00,2024-01-15,01:00,66144.0
2024-01-15 01:30:00,2024-01-15,01:30,65783.0
2024-01-15 02:00:00,2024-01-15,02:00,65542.0
2024-01-15 02:30:00,2024-01-15,02:30,65725.0
2024-01-15 03:00:00,2024-01-15,03:00,64447.0
2024-01-15 03:30:00,2024-01-15,03:30,63433.0
2024-01-15 04:00:00,2024-01-15,04:00,62444.0
2024-01-15 04:30:00,2024-01-15,04:30,62057.0
2024-01-15 05:00:00,2024-01-15,05:00,62021.0
2024-01-15 05:30:00,2024-01-15,05:30,63894.0
2024-01-15 06:00:00,2024-01-15,06:00,65341.0
2024-01-15 06:30:00,2024-01-15,06:30,68581.0
2024-01-15 07:00:00,2024-01-15,07:00,71392.0
2024-01-15 07:30:00,2024-01-15,07:30,74421.0
2024-01-15 08:00:00,2024-01-15,08:00,76334.0
2024-01-15 08:30:00,2024-01-15,08:30,77590.0
2024-01-15 09:00:00,2024-01-15,09:00,78084.0
2024-01-15 09:30:00,2024-01-15,09:30,78319.0
2024-01-15 10:00:00,2024-01-15,10:00,78640.0
2024-01-15 10:30:00,2024-01-15,10:30,78399.0
2024-01-15 11:00:00,2024-01-15,11:00,78080.0
2024-01-15 11:30:00,2024-01-15,11:30,77766.0
2024-01-15 12:00:00,2024-01-15,12:00,77660.0
2024-01-15 12:30:00,2024-01-15,12:30,77014.0
2024-01-15 13:00:00,2024-01-15,13:00,75518.0
2024-01-15 13:30:00,2024-01-15,13:30,74210.0
2024-01-15 14:00:00,2024-01-15,14:00,73340.0
2024-01-15 14:30:00,2024-01-15,14:30,73156.0
2024-01-15 15:00:00,2024-01-15,15:00,72761.0
2024-01-15 15:30:00,2024-01-15,15:30,72297.0
2024-01-15 16:00:00,2024-01-15,16:00,71543.0
2024-01-15 16:30:00,2024-01-15,16:30,71070.0
2024-01-15 17:00:00,2024-01-15,17:00,70915.0
2024-01-15 17:30:00,2024-01-15,17:30,72023.0
2024-01-15 18:00:00,2024-01-15,18:00,74273.0
2024-01-15 18:30:00,2024-01-15,18:30,76832.0
2024-01-15 19:00:00,2024-01-15,19:00,78973.0
2024-01-15 19:30:00,2024-01-15,19:30,79382.0
2024-01-15 20:00:00,2024-01-15,20:00,78028.0
2024-01-15 20:30:00,2024-01-15,20:30,76113.0
2024-01-15 21:00:00,2024-01-15,21:00,74174.0
2024-01-15 21:30:00,2024-01-15,21:30,72464.0
2024-01-15 22:00:00,2024-01-15,22:00,70978.0
2024-01-15 22:30:00,2024-01-15,22:30,70985.0
2024-01-15 23:00:00,2024-01-15,23:00,72316.0
2024-01-15 23:30:00,2024-01-15,23:30,71495.0
2024-02-27 00:00:00,2024-02-27,00:00,60465.0
2024-02-27 00:30:00,2024-02-27,00:30,59499.0
2024-02-27 01:00:00,2024-02-27,01:00,57221.0
2024-02-27 01:30:00,2024-02-27,01:30,57231.0
2024-02-27 02:00:00,2024-02-27,02:00,56920.0
2024-02-27 02:30:00,2024-02-27,02:30,56911.0
2024-02-27 03:00:00,2024-02-27,03:00,55607.0
2024-02-27 03:30:00,2024-02-27,03:30,54474.0
2024-02-27 04:00:00,2024-02-27,04:00,53512.0
2024-02-27 04:30:00,2024-02-27,04:30,53275.0
2024-02-27 05:00:00,2024-02-27,05:00,53197.0
2024-02-27 05:30:00,2024-02-27,05:30,54845.0
2024-02-27 06:00:00,2024-02-27,06:00,56168.0
2024-02-27 06:30:00,2024-02-27,06:30,58957.0
2024-02-27 07:00:00,2024-02-27,07:00,61172.0
2024-02-27 07:30:00,2024-02-27,07:30,63501.0
2024-02-27 08:00:00,2024-02-27,08:00,64733.0
2024-02-27 08:30:00,2024-02-27,08:30,65966.0
2024-02-27 09:00:00,2024-02-27,09:00,66906.0
2024-02-27 09:30:00,2024-02-27,09:30,67173.0
2024-02-27 10:00:00,2024-02-27,10:00,67366.0
2024-02-27 10:30:00,2024-02-27,10:30,67265.0
2024-02-27 11:00:00,2024-02-27,11:00,66990.0
2024-02-27 11:30:00,2024-02-27,11:30,67170.0
2024-02-27 12:00:00,2024-02-27,12:00,67344.0
2024-02-27 12:30:00,2024-02-27,12:30,66711.0
2024-02-27 13:00:00,2024-02-27,13:00,65337.0
2024-02-27 13:30:00,2024-02-27,13:30,64440.0
2024-02-27 14:00:00,2024-02-27,14:00,63784.0
2024-02-27 14:30:00,2024-02-27,14:30,63940.0
2024-02-27 15:00:00,2024-02-27,15:00,63550.0
2024-02-27 15:30:00,2024-02-27,15:30,63095.0
2024-02-27 16:00:00,2024-02-27,16:00,62102.0
2024-02-27 16:30:00,2024-02-27,16:30,61339.0
2024-02-27 17:00:00,2024-02-27,17:00,60813.0
2024-02-27 17:30:00,2024-02-27,17:30,60891.0
2024-02-27 18:00:00,2024-02-27,18:00,61859.0
2024-02-27 18:30:00,2024-02-27,18:30,63440.0
2024-02-27 19:00:00,2024-02-27,19:00,66698.0
2024-02-27 19:30:00,2024-02-27,19:30,68593.0
2024-02-27 20:00:00,2024-02-27,20:00,67775.0
2024-02-27 20:30:00,2024-02-27,20:30,65994.0
2024-02-27 21:00:00,2024-02-27,21:00,63905.0
2024-02-27 21:30:00,2024-02-27,21:30,62253.0
2024-02-27 22:00:00,2024-02-27,22:00,60795.0
2024-02-27 22:30:00,2024-02-27,22:30,60964.0
2024-02-27 23:00:00,2024-02-27,23:00,62282.0
2024-02-27 23:30:00,2024-02-27,23:30,61552.0
2024-03-28 00:00:00,2024-03-28,00:00,56662.0
2024-03-28 00:30:00,2024-03-28,00:30,55935.0
2024-03-28 01:00:00,2024-03-28,01:00,53358.0
2024-03-28 01:30:00,2024-03-28,01:30,52705.0
2024-03-28 02:00:00,2024-03-28,02:00,52358.0
2024-03-28 02:30:00,2024-03-28,02:30,52230.0
2024-03-28 03:00:00,2024-03-28,03:00,50812.0
2024-03-28 03:30:00,2024-03-28,03:30,49960.0
2024-03-28 04:00:00,2024-03-28,04:00,49049.0
2024-03-28 04:30:00,2024-03-28,04:30,48884.0
2024-03-28 05:00:00,2024-03-28,05:00,48948.0
2024-03-28 05:30:00,2024-03-28,05:30,50721.0
2024-03-28 06:00:00,2024-03-28,06:00,52141.0
2024-03-28 06:30:00,2024-03-28,06:30,54834.0
2024-03-28 07:00:00,2024-03-28,07:00,56698.0
2024-03-28 07:30:00,2024-03-28,07:30,59380.0
2024-03-28 08:00:00,2024-03-28,08:00,60878.0
