date,heures,consommation,prevision_j_1,prevision_j,fioul,charbon,gaz,nucleaire,eolien_total,solaire,hydraulique,pompage,bioenergies,ech_physiques,taux_co2,ech_angleterre,ech_espagne,ech_italie,ech_suisse,ech_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydraulique_fil_de_l_eau,hydraulique_lacs,hydraulique_step_turbinage,bioenergies.1,bio_biomasse,bio_biogaz,stockage_batterie,destockage_batterie,eolien_terrestre,eolien_offshore,datetime,date_only,month
05/01/2024,00:00,57605.0,55300.0,55700.0,110.0,16.0,4827.0,46924.0,12473.0,0.0,10446.0,-35.0,1272.0,-18319.0,30.0,-2745.0,-2554.0,-3858.0,-3200.0,-5482.0,15.0,72.0,23.0,91.0,1053.0,2626.0,1058.0,6120.0,3521.0,805.0,522.0,396.0,354.0,0.0,0.0,12093.0,381.0,2024-01-05 00:00:00,2024-01-05,1.0
05/01/2024,00:30,56420.0,53500.0,53600.0,109.0,16.0,4428.0,46890.0,12432.0,0.0,9417.0,-155.0,1278.0,-17883.0,29.0,-2745.0,-2554.0,-3858.0,-3200.0,-5325.0,15.0,71.0,23.0,86.0,1053.0,2235.0,1055.0,6040.0,3129.0,248.0,527.0,399.0,353.0,0.0,0.0,12069.0,362.0,2024-01-05 00:30:00,2024-01-05,1.0
05/01/2024,01:00,53923.0,51700.0,51600.0,109.0,16.0,3552.0,46893.0,12300.0,0.0,9252.0,-1524.0,1275.0,-17830.0,26.0,-2615.0,-1589.0,-3380.0,-3200.0,-6020.0,15.0,72.0,23.0,85.0,1052.0,1355.0,1059.0,5926.0,3035.0,291.0,531.0,391.0,352.0,0.0,0.0,11955.0,345.0,2024-01-05 01:00:00,2024-01-05,1.0
05/01/2024,01:30,53452.0,52400.0,52000.0,108.0,16.0,3321.0,47019.0,12161.0,0.0,8806.0,-2204.0,1262.0,-16926.0,25.0,-2615.0,-1589.0,-3380.0,-3200.0,-5619.0,13.0,71.0,23.0,85.0,1054.0,1124.0,1058.0,5774.0,2837.0,195.0,522.0,389.0,351.0,0.0,0.0,11809.0,352.0,2024-01-05 01:30:00,2024-01-05,1.0
05/01/2024,02:00,53208.0,52400.0,52200.0,108.0,16.0,3281.0,47011.0,11846.0,0.0,8702.0,-2270.0,1269.0,-16636.0,25.0,-2421.0,-582.0,-3715.0,-3200.0,-6148.0,13.0,72.0,23.0,85.0,1053.0,1092.0,1050.0,5811.0,2708.0,183.0,527.0,391.0,351.0,0.0,0.0,11544.0,302.0,2024-01-05 02:00:00,2024-01-05,1.0
05/01/2024,02:30,53162.0,51000.0,50800.0,107.0,16.0,3102.0,47226.0,11542.0,0.0,8730.0,-2378.0,1261.0,-16330.0,24.0,-2421.0,-582.0,-3715.0,-3200.0,-6166.0,13.0,71.0,23.0,85.0,1053.0,908.0,1055.0,5797.0,2749.0,184.0,520.0,391.0,350.0,0.0,0.0,11286.0,256.0,2024-01-05 02:30:00,2024-01-05,1.0
05/01/2024,03:00,51863.0,49500.0,49900.0,107.0,16.0,2788.0,47362.0,11412.0,0.0,8126.0,-2674.0,1259.0,-16417.0,23.0,-2249.0,-1123.0,-3822.0,-3200.0,-5752.0,13.0,71.0,23.0,83.0,1051.0,594.0,1060.0,5683.0,2434.0,9.0,521.0,389.0,349.0,0.0,0.0,11133.0,279.0,2024-01-05 03:00:00,2024-01-05,1.0
05/01/2024,03:30,50889.0,48900.0,48800.0,106.0,16.0,2841.0,46336.0,11238.0,0.0,8217.0,-2961.0,1255.0,-16044.0,24.0,-2249.0,-1123.0,-3822.0,-3200.0,-5668.0,13.0,70.0,23.0,80.0,1052.0,647.0,1061.0,5672.0,2540.0,5.0,516.0,390.0,348.0,0.0,0.0,10960.0,277.0,2024-01-05 03:30:00,2024-01-05,1.0
05/01/2024,04:00,49947.0,48200.0,48200.0,107.0,16.0,2941.0,45502.0,11110.0,0.0,8130.0,-3020.0,1251.0,-15972.0,25.0,-2279.0,-1376.0,-3859.0,-3120.0,-5810.0,13.0,71.0,23.0,90.0,1055.0,731.0,1065.0,5676.0,2449.0,5.0,511.0,392.0,347.0,0.0,0.0,10818.0,292.0,2024-01-05 04:00:00,2024-01-05,1.0
05/01/2024,04:30,49636.0,48100.0,47900.0,108.0,16.0,2977.0,45648.0,10883.0,0.0,8008.0,-2926.0,1229.0,-16199.0,25.0,-2279.0,-1376.0,-3859.0,-3120.0,-5866.0,13.0,72.0,23.0,95.0,1055.0,761.0,1067.0,5551.0,2453.0,5.0,505.0,378.0,346.0,0.0,0.0,10607.0,276.0,2024-01-05 04:30:00,2024-01-05,1.0
