date,heures,consommation,prevision_j_1,prevision_j,fioul,charbon,gaz,nucleaire,eolien_total,solaire,hydraulique,pompage,bioenergies,ech_physiques,taux_co2,ech_angleterre,ech_espagne,ech_italie,ech_suisse,ech_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydraulique_fil_de_l_eau,hydraulique_lacs,hydraulique_step_turbinage,bioenergies.1,bio_biomasse,bio_biogaz,stockage_batterie,destockage_batterie,eolien_terrestre,eolien_offshore,datetime,date_only,month
29/01/2024,00:00,57383.0,55400.0,55700.0,93.0,3.0,2397.0,47522.0,8754.0,0.0,8206.0,-278.0,1236.0,-10432.0,21.0,-2938.0,-233.0,-4315.0,-3200.0,-896.0,0.0,72.0,23.0,142.0,1069.0,164.0,1023.0,5580.0,2615.0,10.0,500.0,394.0,342.0,0.0,0.0,8460.0,294.0,2024-01-29 00:00:00,2024-01-29,1.0
29/01/2024,00:30,56596.0,54000.0,54300.0,94.0,0.0,2303.0,47640.0,8589.0,0.0,8899.0,-667.0,1239.0,-11401.0,20.0,-2938.0,-233.0,-4315.0,-3200.0,-1109.0,0.0,73.0,23.0,119.0,1069.0,101.0,1014.0,5637.0,2892.0,370.0,502.0,396.0,341.0,0.0,0.0,8280.0,309.0,2024-01-29 00:30:00,2024-01-29,1.0
29/01/2024,01:00,54470.0,52200.0,52400.0,93.0,0.0,2293.0,47281.0,8475.0,0.0,8242.0,-1564.0,1239.0,-11471.0,21.0,-3014.0,571.0,-4115.0,-3200.0,-1362.0,0.0,72.0,23.0,109.0,1074.0,96.0,1014.0,5567.0,2414.0,261.0,502.0,395.0,342.0,0.0,0.0,8170.0,305.0,2024-01-29 01:00:00,2024-01-29,1.0
29/01/2024,01:30,54264.0,52800.0,53400.0,93.0,0.0,2293.0,47464.0,8377.0,0.0,7966.0,-1933.0,1234.0,-11114.0,21.0,-3014.0,571.0,-4115.0,-3200.0,-1292.0,0.0,72.0,23.0,109.0,1075.0,95.0,1015.0,5578.0,2382.0,7.0,497.0,395.0,342.0,0.0,0.0,8052.0,325.0,2024-01-29 01:30:00,2024-01-29,1.0
29/01/2024,02:00,54202.0,53000.0,53600.0,94.0,0.0,2294.0,47486.0,8264.0,0.0,7978.0,-2325.0,1230.0,-10698.0,21.0,-3014.0,1232.0,-4174.0,-3100.0,-1272.0,0.0,73.0,23.0,109.0,1076.0,94.0,1015.0,5527.0,2445.0,6.0,495.0,395.0,340.0,0.0,0.0,7913.0,351.0,2024-01-29 02:00:00,2024-01-29,1.0
29/01/2024,02:30,54258.0,52000.0,52600.0,94.0,0.0,2297.0,47574.0,7975.0,0.0,7897.0,-2588.0,1225.0,-10100.0,21.0,-3014.0,1232.0,-4174.0,-3100.0,-1648.0,0.0,73.0,23.0,109.0,1075.0,95.0,1018.0,5502.0,2389.0,6.0,493.0,392.0,340.0,0.0,0.0,7617.0,358.0,2024-01-29 02:30:00,2024-01-29,1.0
29/01/2024,03:00,52977.0,50700.0,51200.0,94.0,0.0,2319.0,47427.0,7619.0,0.0,7680.0,-2905.0,1224.0,-10362.0,22.0,-3014.0,907.0,-4265.0,-3200.0,-2660.0,0.0,73.0,23.0,109.0,1075.0,117.0,1019.0,5527.0,2147.0,6.0,494.0,391.0,338.0,0.0,0.0,7248.0,372.0,2024-01-29 03:00:00,2024-01-29,1.0
29/01/2024,03:30,52084.0,49800.0,50200.0,94.0,0.0,2337.0,47691.0,7387.0,0.0,8007.0,-2907.0,1220.0,-11632.0,22.0,-3014.0,907.0,-4265.0,-3200.0,-3011.0,0.0,73.0,23.0,109.0,1076.0,135.0,1018.0,5541.0,2461.0,6.0,493.0,389.0,338.0,0.0,0.0,7001.0,386.0,2024-01-29 03:30:00,2024-01-29,1.0
29/01/2024,04:00,51105.0,49300.0,49400.0,93.0,42.0,2357.0,47497.0,7273.0,0.0,7640.0,-2916.0,1228.0,-11994.0,23.0,-3014.0,1594.0,-4338.0,-3200.0,-3410.0,0.0,72.0,23.0,109.0,1077.0,153.0,1017.0,5517.0,2117.0,6.0,497.0,393.0,338.0,0.0,0.0,6894.0,379.0,2024-01-29 04:00:00,2024-01-29,1.0
29/01/2024,04:30,51036.0,49300.0,49700.0,93.0,158.0,2390.0,47319.0,7197.0,0.0,7601.0,-2446.0,1229.0,-12390.0,25.0,-3014.0,1594.0,-4338.0,-3200.0,-3862.0,0.0,72.0,23.0,109.0,1077.0,184.0,1021.0,5532.0,2062.0,6.0,495.0,395.0,339.0,0.0,0.0,6811.0,386.0,2024-01-29 04:30:00,2024-01-29,1.0
