month,month_name,representative_date,avg_consumption_MW,min_consumption_MW,max_consumption_MW
1,January,2024-01-05,59369.3,49543.0,65482.0
2,February,2024-02-14,57259.1,49677.0,63499.0
3,March,2024-03-13,54922.7,47760.0,60724.0
4,April,2024-04-20,47512.9,41818.0,53530.0
5,May,2024-05-16,45215.5,36313.0,51216.0
6,June,2024-06-12,44149.8,35180.0,51080.0
7,July,2024-07-25,45716.6,35870.0,52679.0
8,August,2024-08-16,40018.6,31957.0,46705.0
9,September,2024-09-13,45126.6,36002.0,51983.0
10,October,2024-10-22,46793.6,36522.0,53509.0
11,November,2024-11-08,52414.2,42462.0,58912.0
12,December,2024-12-02,57848.6,46676.0,65832.0
