month,month_name,representative_date,avg_consumption_MW,min_consumption_MW,max_consumption_MW
1,January,2024-01-15,72071.4,62021.0,79382.0
2,February,2024-02-27,61999.6,53197.0,68593.0
3,March,2024-03-28,56363.8,48884.0,61649.0
4,April,2024-04-18,52165.3,44056.0,58169.0
5,May,2024-05-23,45042.5,36083.0,51459.0
6,June,2024-06-05,44183.1,34724.0,51131.0
7,July,2024-07-24,45448.4,35594.0,52666.0
8,August,2024-08-09,42894.1,33972.0,49639.0
9,September,2024-09-18,45090.6,35406.0,52125.0
10,October,2024-10-16,46460.6,36570.0,53148.0
11,November,2024-11-13,57798.0,46733.0,65866.0
12,December,2024-12-23,61849.9,52576.0,67969.0
