month,month_name,representative_date,avg_consumption_MW,min_consumption_MW,max_consumption_MW
1,January,2024-01-29,59682.8,51036.0,67570.0
2,February,2024-02-14,57259.1,49677.0,63499.0
3,March,2024-03-14,53137.8,47033.0,60006.0
4,April,2024-04-17,50642.6,41803.0,56371.0
5,May,2024-05-13,42606.4,32370.0,49143.0
6,June,2024-06-11,43884.2,34908.0,50437.0
7,July,2024-07-10,45609.0,35568.0,52673.0
8,August,2024-08-20,41872.4,33004.0,48830.0
9,September,2024-09-12,44855.9,35162.0,51422.0
10,October,2024-10-02,47065.8,36825.0,54315.0
11,November,2024-11-08,52414.2,42462.0,58912.0
12,December,2024-12-20,64346.2,55175.0,72210.0
