,code_insee,nom_standard_majuscule,reg_code,reg_nom,latitude_centre,longitude_centre
0,01001,L'ABERGEMENT-CLÉMENCIAT,84,Auvergne-Rhône-Alpes,46.153,4.926
1,01002,L'ABERGEMENT-DE-VAREY,84,Auvergne-Rhône-Alpes,46.009,5.428
2,01004,AMBÉRIEU-EN-BUGEY,84,Auvergne-Rhône-Alpes,45.961,5.373
3,01005,AMBÉRIEUX-EN-DOMBES,84,Auvergne-Rhône-Alpes,45.996,4.912
4,01006,AMBLÉON,84,Auvergne-Rhône-Alpes,45.75,5.594
5,01007,AMBRONAY,84,Auvergne-Rhône-Alpes,46.006,5.358
6,01008,AMBUTRIX,84,Auvergne-Rhône-Alpes,45.937,5.333
7,01009,ANDERT-ET-CONDON,84,Auvergne-Rhône-Alpes,45.787,5.658
8,01010,ANGLEFORT,84,Auvergne-Rhône-Alpes,45.909,5.795
9,01011,APREMONT,84,Auvergne-Rhône-Alpes,46.206,5.658
10,01012,ARANC,84,Auvergne-Rhône-Alpes,46.002,5.511
11,01013,ARANDAS,84,Auvergne-Rhône-Alpes,45.891,5.499
12,01014,ARBENT,84,Auvergne-Rhône-Alpes,46.284,5.691
13,01015,ARBOYS EN BUGEY,84,Auvergne-Rhône-Alpes,45.724,5.653
14,01016,ARBIGNY,84,Auvergne-Rhône-Alpes,46.478,4.96
15,01017,ARGIS,84,Auvergne-Rhône-Alpes,45.934,5.482
16,01019,ARMIX,84,Auvergne-Rhône-Alpes,45.854,5.584
17,01021,ARS-SUR-FORMANS,84,Auvergne-Rhône-Alpes,45.994,4.822
18,01022,ARTEMARE,84,Auvergne-Rhône-Alpes,45.87,5.691
19,01023,ASNIÈRES-SUR-SAÔNE,84,Auvergne-Rhône-Alpes,46.386,4.884
20,01024,ATTIGNAT,84,Auvergne-Rhône-Alpes,46.286,5.18
21,01025,BÂGÉ-DOMMARTIN,84,Auvergne-Rhône-Alpes,46.323,4.953
22,01026,BÂGÉ-LE-CHÂTEL,84,Auvergne-Rhône-Alpes,46.308,4.929
23,01027,BALAN,84,Auvergne-Rhône-Alpes,45.831,5.108
