Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;P.SEPL61RATIE;LIAISON 225kV N0 1 PONT-SEPT-RATIER;EN EXPLOITATION;225kV;RTE;2;P.SEPL61SANDO;LIAISON 225kV N0 1 PONT-SEPT-SANDOUVILLE;;;;;;
AERIEN;CERGYL71MEZE5;LIAISON 400kV N0 1 CERGY - MEZEROLLES;EN EXPLOITATION;400kV;RTE;2;CERGYL72MEZE5;LIAISON 400kV N0 2 CERGY - MEZEROLLES;;;;;;
AERIEN;CREYSL71GEN.P;LIAISON 400kV N0 1 CREYS - GENISSIAT-POSTE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;ARDOIL61TAVEL;LIAISON 225kV N0 1 ARDOISE (L )-TAVEL;EN EXPLOITATION;225kV;RTE;2;ARDOIL62TAVEL;LIAISON 225kV N0 2 ARDOISE (L )-TAVEL;;;;;;
AERIEN;GRISOL61S.PON;LIAISON 225kV N0 1 GRISOLLES-SERRE-PONCON;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;M.SEIL72VIELM;LIAISON 400kV N0 2 MERY-SUR-SEINE - VIELMOULIN;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CARISL61SEREI;LIAISON 225kV N0 1 CARISEY - SEREIN;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;M.RADL61P.JER;LIAISON 225kV N0 1 MARAIS DE RADICATEL (LES) - PORT-JEROME;EN EXPLOITATION;225kV;RTE;2;P.JERL61RATIE;LIAISON 225kV N0 1 PORT-JEROME-RATIER;;;;;;
AERIEN;MERLAL61SIRMI;LIAISON 225kV N0 1 MERLATIERE-SIRMIERE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BREN5L61VERFE;LIAISON 225kV N0 1 BRENS - VERFEIL;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AUSSOL61P.AND;LIAISON 225kV N0 1 AUSSOIS-PRAZ-ST-ANDRE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CHEVAL71GAVRE;LIAISON 400kV N0 1 CHEVALET - GAVRELLE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;SOLEIL61VOLVO;LIAISON 225kV N0 1 SOLEIL (LE) - VOLVON;EN EXPLOITATION;225kV;RTE;2;CHAZ5L31SOLEI;LIAISON 63kV N0 1 CHAZELLES-SOLEIL (LE);;;;;;
AERIEN;AULNOL61P.SAM;LIAISON 225kV N0 1 AULNOYE-PONT-SUR-SAMBRE;EN EXPLOITATION;225kV;RTE;2;MASTAL61P.SAM;LIAISON 225kV N0 1 MASTAING-PONT-SUR-SAMBRE;;;;;;
AERIEN;LIERSL61LOGES;LIAISON 225kV N0 1 LIERS-LOGES (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;LIERSL61LOGES;LIAISON 225kV N0 1 LIERS-LOGES (LES);EN EXPLOITATION;225kV;RTE;2;LOGESL61ZLINA;LIAISON 225kV N0 1 ESCARGOT - LOGES (LES) - PETIT-BOIS (LE);;;;;;
AERIEN;MOLE L61SSPMA;LIAISON 225kV N0 1 MOLE (LA) - ST-PIERRE-MAREGES;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GARCHL61SSELO;LIAISON 225kV N0 1 GARCHIZY-ST-ELOI;EN EXPLOITATION;225kV;RTE;2;GARCHL61ZGIEN;LIAISON 225kV N0 1 GARCHIZY - GIEN - TABARDERIE;;;;;;
AERIEN;ESPI5L62ZESPI;LIAISON 225kV N0 2 CHAUNAY - DAMBRON - ESPIERS (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CABRIL62REALT;LIAISON 225kV N0 2 CABRIES-REALTOR;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;VLEJUL61ZV.BR;LIAISON 225kV N0 1 ROBINSON - VILLEJUST  - ULIS (LES);EN EXPLOITATION;225kV;RTE;2;MOUL8L62VLEJU;LIAISON 225kV N0 2 MOULINEAUX - VILLEJUST;;;;;;
AERIEN;VLEJUL61ZV.BR;LIAISON 225kV N0 1 ROBINSON - VILLEJUST  - ULIS (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;LIVIEL61SSVIN;LIAISON 225kV N0 1 LIVIERE - ST VINCENT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;LANDRL61ZR.MA;LIAISON 225kV N0 1 LANDRES - STENAY - JAMETZ;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;H.PAUL71VIELM;LIAISON 400kV N0 1 HENRI-PAUL - VIELMOULIN;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;DENNAL61WARAN;LIAISON 225kV N0 1 DENNA-WARANDE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;THIERL61ZQUAR;LIAISON 225kV N0 1 QUAREZ - THIERS (BRUAY-SUR-L'ESCAUT) - VALENCIENNES;EN EXPLOITATION;225kV;RTE;2;FAMARL31THIER;LIAISON 63kV N0 1 FAMARS-THIERS;;;;;;
AERIEN;BISSYL61G.ILE;LIAISON 225kV N0 1 BISSY-GRANDE-ILE;EN EXPLOITATION;225kV;RTE;2;G.ILEL31ZC.BA;LIAISON 63kV N0 1 CHAPELLE DU BARD (LA)-GRANDE-ILE-ST-PIERRE-D ALBIGNY;;;;;;
AERIEN;CANTEL61MOUGU;LIAISON 225kV N0 1 CANTEGRIT - MOUGUERRE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CZTRYL61PLISO;LIAISON 225kV N0 1 COURTRY-PLISON;EN EXPLOITATION;225kV;RTE;2;CZTRYL61SENAR;LIAISON 225kV N0 1 COURTRY-SENART;;;;;;
AERIEN;FRASNL71GEN.P;LIAISON 400kV N0 1 FRASNE - GENISSIAT-POSTE;EN EXPLOITATION;400kV;RTE;2;GEN.PL72VIELM;LIAISON 400kV N0 2 GENISSIAT-POSTE - VIELMOULIN;;;;;;
AERIEN;CHEV5L61ZBAST;LIAISON 225kV N0 1 BRAINS - CHEVIRE - CORDEMAIS-POSTE;EN EXPLOITATION;225kV;RTE;2;CHEV5L31SSPAZ;LIAISON 63kV N0 1 CHEVIRE - STE-PAZANNE;;;;;;
AERIEN;CHEV5L61ZBAST;LIAISON 225kV N0 1 BRAINS - CHEVIRE - CORDEMAIS-POSTE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
