Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
SOUTERRAIN;CHEVIL61VLEJU;LIAISON 225kV N0 1 CHEVILLY-VILLEJUST;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;FOCH L61PUTEA;LIAISON 225kV N0 1 FOCH-PUTEAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;LAGAFL61TRI.P;LIAISON 225kV N0 1 LAGAFIERE-TRICASTIN-POSTE (LE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PALENL61QUATR;LIAISON 225kV N0 1 PALENTE - QUATROUILLOTS (LES);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CZTRYL61PLISO;LIAISON 225kV N0 1 COURTRY-PLISON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BAYETL61BILLY;LIAISON 225kV N0 1 BAYET-BILLY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MORBRL61SONNE;LIAISON 225kV N0 1 MORBRAS-SONNETTES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;H.VINL62WATTR;LIAISON 225kV N0 2 HAUT-VINAGE-WATTRELOS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GARIEL61ZPARR;LIAISON 225kV N0 1 BRUGES - GARIES - PESSAC;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ISCLEL61P.ORG;LIAISON 225kV N0 1 ISCLES (LES)-PLAN-D ORGON;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MALA6L61ROMAI;LIAISON 225kV N0 1 MALASSIS-ROMAINVILLE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.ROUL62SOULL;LIAISON 225kV N0 2 GUE-AU-ROUX (LE) - SOULLANS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVENIL61BZGET;LIAISON 225kV N0 1 AVENIR - BOURGET (LE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHAREL61VINC5;LIAISON 225kV N0 1 CHARENTON-VINCENNES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SEINEL61ZBRI5;LIAISON 225kV N0 1 PLESSIS-GASSOT - SEINE - BRICHE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.ORBL62ZMORE;LIAISON 225kV N0 2 GAUDIERE (LA) - MOREAU - CONQUES-SUR-ORBIEL;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;JUSTIL61ZJUST;LIAISON 225kV N0 1 CHAUNAY - DAMBRON - JUSTICE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.GASL63SEINE;LIAISON 225kV N0 3 PLESSIS-GASSOT - SEINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.CAIL61VALEN;LIAISON 225kV N0 1 GROS-CAILLOU-VALENCIENNES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.BOIL61ZLINA;LIAISON 225kV N0 1 ESCARGOT - LOGES (LES) - PETIT-BOIS (LE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;PRINQL61PTCHA;LIAISON 225kV N0 1 PONTCHATEAU-PRINQUIAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;JONQUL61SSCES;LIAISON 225kV N0 1 JONQUIERES-ST-CESAIRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;NANTEL61RUEIL;LIAISON 225kV N0 1 NANTERRE-RUEIL;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ELANCL61YVE.O;LIAISON 225kV N0 1 ELANCOURT-YVELINES-OUEST;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CASTAL61MOUL8;LIAISON 225kV N0 1 CASTAGNARY-MOULINEAUX;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHEVIL63ZV.OR;LIAISON 225kV N0 3 CHEVILLY - ULIS (LES) - VILLEJUST;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CARDIL61PASQU;LIAISON 225kV N0 1 CARDINET - PASQUIER;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CORMEL63NANTE;LIAISON 225kV N0 3 CORMEILLES - NANTERRE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CROLLL61FROGE;LIAISON 225kV N0 1 CROLLES-FROGES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;G.SYNL61Q.ECL;LIAISON 225kV N0 1 GRANDE-SYNTHE - QUATRE-ECLUSES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;HARC7L62JAVEL;LIAISON 225kV N0 2 HARCOURT (POSTE BLINDE)-JAVEL;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BZGETL61SAUS5;LIAISON 225kV N0 1 BOURGET-SAUSSET;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AVENIL61CZNEU;LIAISON 225kV N0 1 AVENIR-COURNEUVE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SAINNL61YAINV;LIAISON 225kV N0 1 SAINNEVILLE-YAINVILLE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;C.GOML62E.BOT;LIAISON 225kV N0 2 CHATEAU - GOMBERT - ENCO-DE-BOTTE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CONF5L611CNRS;LIAISON 225kV N0 1 CONFLUENT - LNCMI-CNRS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;DAMBRL61G.DEN;LIAISON 225kV N0 1 DAMBRON-GAULT-SAINT-DENIS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BRICHL62ZBRIC;LIAISON 225kV N0 2 PLESSIS-GASSOT - SEINE - BRICHE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTJAYL61ZMTJ5;LIAISON 225kV N0 1 ELANCOURT - VILLEJUST - MONTJAY;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MTGROL61MTPEZ;LIAISON 225kV N0 1 MONTGROS - MONTPEZAT;EN EXPLOITATION;225kV;1;;;;;;;;
