Région;Solar_MW;Wind_MW;Battery_MWh
Auvergne-Rhône-Alpes;0.0;0.0;332405.7202797202
Bourgogne-Franche-Comté;0.0;0.0;1.3622190000000002e6
Bretagne;0.0;0.0;157574.23776223772
Centre-Val de Loire;0.0;0.0;0.0
Grand Est;0.0;0.0;221152.9999999997
Hauts-de-France;0.0;0.0;142783.99300699297
Normandie;0.0;0.0;90629.98601398594
Nouvelle-Aquitaine;0.0;0.0;267239.00000000006
Occitanie;0.0;0.0;364679.27972027974
Pays de la Loire;0.0;0.0;0.0
Provence-Alpes-Côte d'Azur;0.0;0.0;0.0
Île-de-France;0.0;0.0;161647.78321678317
